Date,Ticker,Open,High,Low,Close,Volume,return_1,return_5,return_10,return_20,ma_dist_5,ma_dist_10,ma_dist_20,ma_dist_50,volatility_5,volatility_10,volatility_20,volume_change,volume_ratio_20,intraday_return,range_pct,close_position,target
1973-07-13,MDT,0.0,0.3828130066394806,0.375,0.375,716800,-0.010308655608599504,0.03783818024116492,0.021275186605398844,-0.020409459720470258,-1.5894571628254862e-08,0.02949091984785662,0.03031925790947325,0.04643526551991522,0.012220141418006219,0.037795687246678644,0.02933159951845415,1.2400000000000002,0.5659423951490652,inf,0.020834684371948242,0.0,0
1973-07-16,MDT,0.0,0.3828130066394806,0.375,0.375,652800,0.0,0.01587194966833172,0.02673905704989865,-0.020409459720470258,-0.0031150752491365596,0.026738160607467094,0.03142630718368206,0.045068299665174345,0.009503397372113948,0.03770641136168448,0.02933159951845415,-0.0892857142857143,0.568561872909699,inf,0.020834684371948242,0.0,1
1973-07-17,MDT,0.0,0.384766012430191,0.3769530057907104,0.3769530057907104,844800,0.005208015441894309,0.005208015441894309,0.13529457382710075,0.005208015441894309,0.0010372813465625466,0.019545528384580263,0.03651959852452085,0.05051103150766488,0.006741010252840136,0.01825580749512722,0.028978733298872038,0.2941176470588236,0.7374301675977654,inf,0.020726739194164914,0.0,1
1973-07-18,MDT,0.0,0.390625,0.3828130066394806,0.3828130066394806,1152000,0.015545706649766622,0.015545706649766622,0.10112580794486248,0.05376552705860882,0.013444901424364422,0.02564233390569366,0.04981387138768628,0.06614558005430098,0.009395063924785594,0.013910015015794976,0.028142900377986738,0.36363636363636354,1.070154577883472,inf,0.02040681279117682,0.0,1
1973-07-19,MDT,0.0,0.3945310115814209,0.3867189884185791,0.3867189884185791,716800,0.010203367470157598,0.020619828132442564,0.07027128321344622,0.07027128321344622,0.01956774834892804,0.029106516658304795,0.056846024653770026,0.07632128150803796,0.009923431152168238,0.009327024305781867,0.02811416751137214,-0.37777777777777777,0.6690561529271206,inf,0.02020077471444504,0.0,0
1973-07-20,MDT,0.0,0.390625,0.3828130066394806,0.3828130066394806,550400,-0.010100310292678771,0.020834684371948242,0.05946121115564673,0.08888876079059749,0.005128937629901153,0.01292092569106854,0.04172330759973752,0.06475553012933245,0.009847796041840289,0.010610240913239003,0.02738304959919924,-0.2321428571428571,0.5385097056981841,inf,0.02040681279117682,0.0,0
1973-07-23,MDT,0.0,0.3828130066394806,0.375,0.375,2508800,-0.020409459720470258,0.0,0.01587194966833172,0.04347826086956519,-0.015385200936535372,-0.009288128505495484,0.018297434921331665,0.042571379643700814,0.014928357436007804,0.01191041673709945,0.027600441075467167,3.558139534883721,2.351529694061188,inf,0.020834684371948242,0.0,1
1973-07-24,MDT,0.0,0.3867189884185791,0.3789060115814209,0.3789060115814209,1305600,0.010416030883789062,0.0051810325443983896,0.010416030883789062,0.07182135535160139,-0.006148694631613786,-7.708046992427078e-07,0.025369321262174303,0.0514895610856943,0.01554378616732825,0.011295109532364365,0.027287086546680533,-0.47959183673469385,1.186046511627907,inf,0.0206198281324426,0.0,1
1973-07-25,MDT,0.0,0.3925780057907104,0.384766012430191,0.384766012430191,1395200,0.015465578981743944,0.005101722660509456,0.02072673919416501,0.07065325197966188,0.008188874420724456,0.013375227593527992,0.03766228968913237,0.06417535750153046,0.015525239668807839,0.012144057596231717,0.02726098728152507,0.06862745098039214,1.2853773584905661,inf,0.020303231335789457,0.0,1
1973-07-26,MDT,0.0,0.3945310115814209,0.3867189884185791,0.3867189884185791,409600,0.0050757497421694,0.0,0.020619828132442564,0.06451748395857226,0.013306188840123577,0.016427325318874263,0.03964345858961466,0.06681069907114265,0.014932877442564396,0.01214115439077722,0.027212481096051726,-0.7064220183486238,0.375366568914956,inf,0.02020077471444504,0.0,1
