Date,Ticker,Open,High,Low,Close,Volume,return_1,return_5,return_10,return_20,ma_dist_5,ma_dist_10,ma_dist_20,ma_dist_50,volatility_5,volatility_10,volatility_20,volume_change,volume_ratio_20,intraday_return,range_pct,close_position,target
1976-01-29,TRV,0.0,8.3125,8.1875,8.1875,158400,0.06504065040650397,0.03149606299212593,0.0234375,0.06072874493927127,0.055600322320709154,0.03885804916732757,0.025841816758026603,0.026484876978529973,0.04063152928618436,0.027730187718427765,0.023184977596122976,-0.25283018867924534,1.573926868044515,inf,0.015267175572519083,0.0,0
1976-01-30,TRV,0.0,8.125,8.0,8.0,304400,-0.022900763358778664,0.015873015873015817,0.0,0.015873015873015817,0.028112449799196786,0.015067406819984185,0.0015649452269170803,0.005419841332181272,0.04250745630768711,0.028895403783635476,0.023520849489387513,0.9217171717171717,2.7110794442465265,inf,0.015625,0.0,1
1976-02-02,TRV,0.0,8.25,8.125,8.125,73600,0.015625,0.07883817427385886,0.011673151750972721,0.019607843137254832,0.028481012658227802,0.0297029702970297,0.01622044166503813,0.02225367618148933,0.03318512265223032,0.029289701750944086,0.023625715326821107,-0.7582128777923784,0.6646198302329781,inf,0.015384615384615385,0.0,1
1976-02-03,TRV,0.0,8.28125,8.15625,8.15625,66800,0.0038461538461538325,0.08749999999999991,0.011627906976744207,-0.018796992481203034,0.01556420233463035,0.032436708860759444,0.021126760563380306,0.02691218130311616,0.03216508281965044,0.029289305060860176,0.021495366609458205,-0.09239130434782605,0.6217423678332092,inf,0.01532567049808429,0.0,1
1976-02-04,TRV,0.0,8.375,8.25,8.25,184000,0.011494252873563315,0.07317073170731714,0.03125,0.01538461538461533,0.013046815042210195,0.0410094637223975,0.03205629397967157,0.039206424185167725,0.03192532594148702,0.029243388899119396,0.021018986717362617,1.7544910179640718,1.6630513376717282,inf,0.015151515151515152,0.0,0
1976-02-05,TRV,0.0,8.3125,8.1875,8.1875,64800,-0.007575757575757569,0.0,0.03149606299212593,0.007692307692307665,0.005372217958557088,0.029874213836477963,0.023837436498632257,0.031902323749507654,0.015595196671803634,0.029233341604079,0.02110548489052219,-0.6478260869565218,0.5911330049261084,inf,0.015267175572519083,0.0,0
1976-02-06,TRV,0.0,8.15625,8.03125,8.03125,72000,-0.01908396946564883,0.00390625,0.01984126984126977,-0.011538461538461497,-0.014570552147239306,0.008238524911730067,0.004887585532746823,0.013087354146956769,0.014220878941223402,0.029924109905383054,0.021560158800930353,0.11111111111111116,0.6531204644412192,inf,0.01556420233463035,0.0,1
1976-02-09,TRV,0.0,8.25,8.125,8.125,42800,0.011673151750972721,0.0,0.07883817427385886,0.0,-0.0030674846625767306,0.012461059190031107,0.016617790811339198,0.025721950449739666,0.013273452587847446,0.02521515562979216,0.021727833043609666,-0.40555555555555556,0.38930325632163,inf,0.015384615384615385,0.0,0
1976-02-10,TRV,0.0,8.15625,8.03125,8.03125,91200,-0.011538461538461497,-0.01532567049808431,0.0708333333333333,0.0,-0.011538461538461539,-0.005802707930367505,0.004887585532746823,0.015088079627142717,0.013945622214043597,0.025710779803193994,0.021727833043609666,1.130841121495327,0.8376193975018369,inf,0.01556420233463035,0.0,1
1976-02-11,TRV,0.0,8.1875,8.0625,8.0625,28800,0.0038910505836575737,-0.022727272727272707,0.04878048780487809,-0.007692307692307665,-0.0030911901081916975,-0.006546014632267958,0.009192255036182258,0.019521062198688047,0.01228484195933061,0.024938092432346425,0.021581145640120456,-0.6842105263157895,0.27216027216027217,inf,0.015503875968992248,0.0,1
