Date,Ticker,Open,High,Low,Close,Volume,return_1,return_5,return_10,return_20,ma_dist_5,ma_dist_10,ma_dist_20,ma_dist_50,volatility_5,volatility_10,volatility_20,volume_change,volume_ratio_20,intraday_return,range_pct,close_position,target
1988-04-07,MOS,15.875,16.0,15.75,16.0,165400,0.011857707509881354,0.07112970711297062,0.06666666666666665,0.007874015748031482,0.03896103896103894,0.06800166875260748,0.06092001657687521,0.12934533262749245,0.018622582728119907,0.028171569508526347,0.03318552527583021,0.32108626198083057,0.6587541819340449,0.007874015748031496,0.015625,1.0,0
1988-04-08,MOS,15.9375,16.0,15.8125,16.0,182400,0.0,0.06224066390041494,0.11304347826086958,0.09871244635193133,0.02646351242983157,0.0565414775072224,0.05588781191998355,0.12359550561797751,0.019602461399802318,0.022764562058301095,0.0267493739769674,0.10278113663845234,0.7616184391832644,0.00392156862745098,0.01171875,1.0,0
1988-04-11,MOS,15.9375,16.0,15.6875,15.75,85400,-0.015625,0.050000000000000044,0.11013215859030834,0.0862068965517242,0.0007942811755360946,0.029411764705882304,0.03512014787430689,0.1011098488158699,0.022471616478345204,0.023079896327848924,0.027075799720185735,-0.5317982456140351,0.36716969775140806,-0.011764705882352941,0.01984126984126984,0.2,0
1988-04-12,MOS,15.6875,15.6875,15.375,15.4375,419000,-0.019841269841269882,0.02066115702479343,0.08333333333333326,0.024896265560165887,-0.022943037974683587,0.0012160518848804676,0.013333333333333334,0.07447363842004526,0.026215873760280554,0.025011671442453903,0.026329734547558447,3.9063231850117095,1.7011774259033698,-0.01593625498007968,0.020242914979757085,0.2,0
1988-04-13,MOS,15.375,15.5625,15.375,15.4375,208000,0.0,-0.02371541501976282,0.024896265560165887,-0.03137254901960784,-0.01828298887122414,-0.0012131014961585579,0.014998972673104606,0.06935665425577976,0.012912677861630502,0.0182634354147467,0.02272156506572567,-0.5035799522673031,0.9325681492109039,0.0040650406504065045,0.012145748987854251,0.3333333333333333,0
1988-04-14,MOS,15.25,15.25,14.75,14.75,167000,-0.04453441295546556,-0.078125,-0.012552301255230103,-0.05976095617529875,-0.04684975767366718,-0.044534412955465584,-0.027205276174773266,0.01785560251876126,0.018310575507157378,0.02350949132589807,0.024523748575676664,-0.19711538461538458,0.7548022598870057,-0.03278688524590164,0.03389830508474576,0.0,0
1988-04-15,MOS,14.625,14.75,14.375,14.75,102800,0.0,-0.078125,-0.020746887966805017,-0.06349206349206349,-0.03119868637110014,-0.04259634888438134,-0.02398676592224984,0.014181349376880153,0.018310575507157378,0.023286313824468247,0.024481951891780165,-0.38443113772455095,0.4692778234273715,0.008547008547008548,0.025423728813559324,1.0,0
1988-04-18,MOS,14.75,15.125,14.0,14.375,807000,-0.025423728813559365,-0.08730158730158732,-0.04166666666666663,-0.06882591093117407,-0.038461538461538415,-0.06313645621181263,-0.04544511309400286,-0.014398354473774484,0.018778771577744387,0.024461821541097672,0.02471488290922448,6.8501945525291825,3.2142430397897,-0.025423728813559324,0.0782608695652174,0.3333333333333333,1
1988-04-19,MOS,14.3125,14.75,14.3125,14.4375,442200,0.004347826086956497,-0.06477732793522262,-0.045454545454545414,-0.03749999999999998,-0.0211864406779661,-0.05482815057283145,-0.0395010395010395,-0.012904879924792795,0.02114025077296643,0.024270671325024692,0.024041448164570055,-0.4520446096654275,1.6977654918221607,0.008733624454148471,0.030303030303030304,0.2857142857142857,1
1988-04-20,MOS,14.4375,14.625,14.4375,14.5625,68000,0.008658008658008587,-0.05668016194331982,-0.07905138339920947,-0.021008403361344574,-0.0008576329331045825,-0.038778877887788804,-0.030176899063475548,-0.00783512178504515,0.02277515957466249,0.017804372446275772,0.02409250198469565,-0.8462234283129806,0.28558229389777834,0.008658008658008658,0.012875536480686695,0.6666666666666666,1
