Date,Ticker,Open,High,Low,Close,Volume,return_1,return_5,return_10,return_20,ma_dist_5,ma_dist_10,ma_dist_20,ma_dist_50,volatility_5,volatility_10,volatility_20,volume_change,volume_ratio_20,intraday_return,range_pct,close_position,target
1982-10-11,CPICQ,6.1875,6.3125,6.1875,6.1875,33600.0,0.03125,0.2857142857142858,0.33783783783783794,0.375,0.08315098468271329,0.18562874251497005,0.263560944479898,0.4477917519742616,0.0587596213753163,0.046010906881138916,0.03493215313636884,-0.2075471698113207,1.7445482866043613,0.0,0.020202020202020204,0.0,0
1982-10-12,CPICQ,6.1875,6.3125,6.1875,6.1875,29600.0,0.0,0.26923076923076916,0.32000000000000006,0.375,0.03556485355648542,0.15250291036088467,0.24215809284818063,0.4289838337182448,0.06119871327489339,0.04675524773186549,0.03493215313636884,-0.11904761904761907,1.716937354988399,0.0,0.020202020202020204,0.0,0
1982-10-13,CPICQ,6.1875,6.375,6.1875,6.1875,16800.0,0.0,0.13793103448275867,0.32000000000000006,0.375,0.01020408163265306,0.1211778029445074,0.22146822948797043,0.41146278870829767,0.051482465668432155,0.04675524773186549,0.03493215313636884,-0.43243243243243246,0.9343715239154616,0.0,0.030303030303030304,0.0,1
1982-10-14,CPICQ,6.3125,6.4375,6.3125,6.3125,16400.0,0.02020202020202011,0.04123711340206193,0.3466666666666667,0.3835616438356164,0.022267206477732823,0.11111111111111104,0.2249848392965433,0.4217342342342341,0.0169736582602228,0.04578580132612236,0.03493496158635899,-0.023809523809523836,0.8884073672806068,0.0,0.019801980198019802,0.0,0
1982-10-15,CPICQ,6.3125,6.4375,6.3125,6.3125,8800.0,0.0,0.05208333333333326,0.32894736842105265,0.3835616438356164,0.012024048096192414,0.08137044967880079,0.2045319022063209,0.40355753196220134,0.01462208982728706,0.046548297352237984,0.03493496158635899,-0.46341463414634143,0.47109207708779444,0.0,0.019801980198019802,0.0,1
1982-10-18,CPICQ,6.5,6.625,6.5,6.5,17200.0,0.02970297029702973,0.05050505050505061,0.35064935064935066,0.42465753424657526,0.03174603174603177,0.08220603537981276,0.21779859484777508,0.42582944886207846,0.014073791683187257,0.046185190418163,0.03480947840856251,0.9545454545454546,0.8856848609680742,0.0,0.019230769230769232,0.0,1
1982-10-19,CPICQ,6.75,6.875,6.75,6.75,15600.0,0.03846153846153855,0.09090909090909083,0.3846153846153846,0.47945205479452047,0.05263157894736848,0.08980827447023215,0.23924268502581747,0.4594594594594595,0.01737778263637915,0.04575631577153528,0.034802270630017146,-0.09302325581395354,0.819327731092437,0.0,0.018518518518518517,0.0,1
1982-10-20,CPICQ,7.3125,7.4375,7.3125,7.3125,21200.0,0.08333333333333326,0.18181818181818188,0.3448275862068966,0.5810810810810811,0.10169491525423725,0.14593535749265432,0.3101903695408735,0.5550239234449762,0.030894796922910688,0.04020504938119555,0.03748520734180053,0.35897435897435903,1.0894141829393629,0.0,0.017094017094017096,0.0,1
1982-10-21,CPICQ,7.5,7.5625,7.5,7.5,64400.0,0.02564102564102555,0.18811881188118806,0.23711340206185572,0.6216216216216217,0.09090909090909091,0.14942528735632177,0.3100436681222708,0.5678076822576429,0.030363742083783545,0.027263614861278252,0.037064562999116195,2.0377358490566038,3.052132701421801,0.0,0.008333333333333333,0.0,0
1982-10-22,CPICQ,7.5,7.5625,7.5,7.5,30400.0,0.0,0.18811881188118806,0.25,0.6216216216216217,0.054481546572935,0.12359550561797755,0.27795527156549515,0.5420200462606015,0.030363742083783545,0.02608270551154299,0.037064562999116195,-0.5279503105590062,1.3693693693693694,0.0,0.008333333333333333,0.0,0
1982-10-25,CPICQ,7.375,7.5,7.375,7.375,39200.0,-0.01666666666666672,0.13461538461538458,0.19191919191919182,0.5945945945945945,0.012006861063464887,0.0855565777368905,0.2278876170655568,0.4925373134328358,0.03853198676352897,0.02864542818010398,0.037837425438180944,0.2894736842105263,1.6596104995766299,0.0,0.01694915254237288,0.0,0
1982-10-26,CPICQ,7.0,7.1875,7.0,7.0,56000.0,-0.05084745762711862,0.03703703703703698,0.13131313131313127,0.4933333333333334,-0.045996592844974496,0.01818181818181818,0.1434405308831036,0.3968570715889248,0.05030248043917396,0.03582259919081378,0.041370316068059076,0.4285714285714286,2.1756021756021755,0.0,0.026785714285714284,0.0,0
1982-10-27,CPICQ,6.3125,6.375,6.3125,6.3125,171200.0,-0.0982142857142857,-0.1367521367521367,0.02020202020202011,0.3466666666666667,-0.11558669001751316,-0.08348457350272234,0.017632241813602016,0.24599062422896617,0.048067283019353195,0.05031118432441202,0.049104039928493694,2.057142857142857,5.002922267679719,0.0,0.009900990099009901,0.0,1
1982-10-28,CPICQ,6.5,6.625,6.5,6.5,169600.0,0.02970297029702973,-0.1333333333333333,0.02970297029702973,0.3866666666666667,-0.06306306306306306,-0.058823529411764705,0.03277060575968219,0.268911664226452,0.049221362328862206,0.05075648367674015,0.049040037554791804,-0.009345794392523366,3.975621190811064,0.0,0.019230769230769232,0.0,1
1982-10-29,CPICQ,6.625,6.75,6.625,6.625,20400.0,0.019230769230769162,-0.1166666666666667,0.04950495049504955,0.39473684210526305,-0.020332717190388195,-0.04504504504504504,0.037181996086105645,0.27864897466827493,0.05251946677766491,0.05094735560078565,0.049030742267515526,-0.8797169811320755,0.4693971468016567,0.0,0.018867924528301886,0.0,0
1982-11-01,CPICQ,6.625,6.6875,6.625,6.625,180400.0,0.0,-0.10169491525423724,0.019230769230769162,0.37662337662337664,0.001890359168241993,-0.046762589928057575,0.022672455378678187,0.26431297709923657,0.05356882340887004,0.050275556989258965,0.049185723232119415,7.843137254901961,3.4678969627066514,0.0,0.009433962264150943,0.0,0
1982-11-02,CPICQ,6.625,6.6875,6.625,6.625,234800.0,0.0,-0.0535714285714286,-0.01851851851851849,0.35897435897435903,0.013384321223709424,-0.04504504504504504,0.009043312708234202,0.2505899008966493,0.05102063406493732,0.048713638845494324,0.04933034191057408,0.3015521064301552,3.7046386872830546,0.0,0.009433962264150943,0.0,1
1982-11-03,CPICQ,6.9375,7.0,6.9375,6.9375,139600.0,0.04716981132075482,0.0990099009900991,-0.05128205128205132,0.27586206896551735,0.0412757973733584,0.0054347826086956,0.04470588235294118,0.2940079272557706,0.020186019497221482,0.04275300133430683,0.04423522765758755,-0.40545144804088584,2.053545160341277,0.0,0.009009009009009009,0.0,1
1982-11-04,CPICQ,7.25,7.375,7.25,7.25,137200.0,0.04504504504504503,0.11538461538461542,-0.033333333333333326,0.19587628865979378,0.06422018348623854,0.05454545454545454,0.08208955223880594,0.3360976733471551,0.023129224886659687,0.04466543161217336,0.03810914577596796,-0.017191977077363862,1.8992248062015504,0.0,0.017241379310344827,0.0,0
1982-11-05,CPICQ,7.125,7.25,7.125,7.125,32400.0,-0.017241379310344862,0.07547169811320753,-0.050000000000000044,0.1875,0.030741410488245986,0.042047531992687334,0.05457909343200745,0.2987012987012987,0.029270752857212097,0.04489220137009868,0.038331442448289635,-0.7638483965014577,0.4516308893225537,0.0,0.017543859649122806,0.0,0
1982-11-08,CPICQ,7.125,7.25,7.125,7.125,7200.0,0.0,0.07547169811320753,-0.03389830508474578,0.1515151515151516,0.016042780748663076,0.045871559633027525,0.04731281580156184,0.28407298941202974,0.029270752857212097,0.04468611034166679,0.03802696743483389,-0.7777777777777778,0.10224368077250781,0.0,0.017543859649122806,0.0,0
1982-11-09,CPICQ,7.125,7.3125,7.125,7.125,66400.0,0.0,0.07547169811320753,0.017857142857142794,0.1515151515151516,0.00175746924428825,0.04395604395604393,0.04014598540145991,0.2700534759358288,0.029270752857212097,0.041343324762886914,0.03802696743483389,8.222222222222221,0.9189039579296983,0.0,0.02631578947368421,0.0,0
1982-11-10,CPICQ,7.125,7.3125,7.125,7.125,14000.0,0.0,0.027027027027026973,0.1287128712871286,0.1515151515151516,-0.003496503496503546,0.03167420814479638,0.0330765745355687,0.2566137566137566,0.02330081800053342,0.02177690275192534,0.03802696743483389,-0.7891566265060241,0.19412090959511924,0.0,0.02631578947368421,0.0,1
1982-11-11,CPICQ,7.1875,7.3125,7.1875,7.1875,24800.0,0.00877192982456143,-0.008620689655172376,0.10576923076923084,0.13861386138613851,0.007005253940455316,0.030465949820788582,0.035569563259792915,0.254636700850971,0.009485061919299258,0.020916958290352478,0.037916117940710384,0.7714285714285714,0.3418803418803419,0.0,0.017391304347826087,0.0,0
1982-11-12,CPICQ,7.1875,7.3125,7.1875,7.1875,21200.0,0.0,0.00877192982456143,0.08490566037735858,0.13861386138613851,0.005244755244755195,0.022222222222222223,0.029082774049217,0.2419006479481642,0.003922926276315219,0.020888406617510243,0.037916117940710384,-0.14516129032258063,0.2897758337889557,0.0,0.017391304347826087,0.0,0
1982-11-15,CPICQ,7.1875,7.25,7.1875,7.1875,10400.0,0.0,0.00877192982456143,0.08490566037735858,0.10576923076923084,0.0034904013961606084,0.014109347442680725,0.02404274265360644,0.23020967051775776,0.003922926276315219,0.020888406617510243,0.03756861592694524,-0.5094339622641509,0.14281790716836035,0.0,0.008695652173913044,0.0,0
1982-11-16,CPICQ,7.1875,7.3125,7.1875,7.1875,37600.0,0.0,0.00877192982456143,0.08490566037735858,0.06481481481481488,0.0017421602787456693,0.006124234470691188,0.020861074123390982,0.21873675286138194,0.003922926276315219,0.020888406617510243,0.03678050921520503,2.6153846153846154,0.5086580086580087,0.0,0.017391304347826087,0.0,0
1982-11-17,CPICQ,7.1875,7.3125,7.1875,7.1875,29600.0,0.0,0.00877192982456143,0.03603603603603611,-0.017094017094017144,0.0,0.0026155187445509776,0.021768103065304335,0.20747585048299041,0.003922926276315219,0.015879723540235847,0.03165966532881325,-0.21276595744680848,0.3981705676620931,0.0,0.017391304347826087,0.0,1
